GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Community Compass Java Service,com.compasschat.mention.dto,MentionResponse,42,0,0,0,9,0,2,0,2,0
Community Compass Java Service,com.compasschat.ai.controller,AiAgentController,43,0,4,0,10,0,5,0,3,0
Community Compass Java Service,com.compasschat,CompassChatApplication,5,3,0,0,2,1,1,1,1,1
Community Compass Java Service,com.compasschat.volunteer,VolunteerSupportRequest,24,0,0,0,7,0,7,0,7,0
Community Compass Java Service,com.compasschat.volunteer,VolunteerController,6,0,0,0,2,0,2,0,2,0
Community Compass Java Service,com.compasschat.volunteer,VolunteerService,7,0,0,0,3,0,2,0,2,0
Community Compass Java Service,com.compasschat.auth,AuthService,115,0,4,0,17,0,6,0,4,0
Community Compass Java Service,com.compasschat.auth,AuthController,28,0,0,0,9,0,3,0,3,0
Community Compass Java Service,com.compasschat.message.dto,MessageAuditLogResponse,42,0,0,0,9,0,2,0,2,0
Community Compass Java Service,com.compasschat.message.dto,MessageResponse,46,0,2,0,9,0,3,0,2,0
Community Compass Java Service,com.compasschat.message.dto,UpdateMessageRequest,6,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.message.dto,CreateMessageRequest,6,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.mood,Mood,24,0,0,0,9,0,5,0,5,0
Community Compass Java Service,com.compasschat.mood,ResourceRecommendationService.RecommendedResource,15,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.mood,MoodService,121,0,4,0,34,0,10,0,8,0
Community Compass Java Service,com.compasschat.mood,MoodService.MoodLogResult,9,0,0,0,1,0,1,0,1,0
Community Compass Java Service,com.compasschat.mood,MoodController,85,0,4,0,23,0,8,0,6,0
Community Compass Java Service,com.compasschat.common.base.exception,GlobalExceptionHandler,15,26,0,0,7,8,2,3,2,3
Community Compass Java Service,com.compasschat.common.base.exception,ResourceNotFoundException,6,0,0,0,2,0,1,0,1,0
Community Compass Java Service,com.compasschat.message,MessageAuditLog,36,0,0,0,13,0,7,0,7,0
Community Compass Java Service,com.compasschat.message,MessageService,193,0,16,0,43,0,15,0,7,0
Community Compass Java Service,com.compasschat.message,Message,47,0,0,0,17,0,9,0,9,0
Community Compass Java Service,com.compasschat.message,MessagePostedEvent,9,0,0,0,4,0,2,0,2,0
Community Compass Java Service,com.compasschat.message,MessageController,121,0,4,0,30,0,11,0,9,0
Community Compass Java Service,com.compasschat.config,DataSeeder,86,0,2,0,19,0,4,0,3,0
Community Compass Java Service,com.compasschat.ai.service,AiIntent,54,0,0,0,6,0,1,0,1,0
